мне нужна справка	statement_general
оформить справку	statement_general
взять справку	statement_general
справку как получить	statement_general
справку ммф где получаться	statement_general
справка как получить	statement_general
справку оформить	statement_general
оформлять справка	statement_general
оформлять справку	statement_general
справку	statement_general
справку оформлять	statement_general
где получать справка	statement_general
справка где получать	statement_general
заказать справку	statement_general
справка оформлять	statement_general
справку надо мне оформить	statement_general
оформлять справку где	statement_general
как оформить справку чорт	statement_general
мне нужно оформить и получить справку	statement_general
справку оформить где можно	statement_general
где получить справочку	statement_general
справку где получать	statement_general
где мне заказать справку	statement_general
справка оформлять быстро	statement_general
мне нужна справка ааа	statement_general
оформить справка студента эф	conform
взять справка студента фия	conform
справка студента эф получать	conform
оформлять справка об обучении	conform
оформлять справка студента фия	conform
получать справка о обучении	conform
заказать справка студента фия	conform
справка обучающегося петь	conform
брать справка студента ммф	conform
оформить справка студента	conform
оформить справка обучающегося	conform
справка студента фф получить	conform
как мне заказать справка студента	conform
как мне заказать справка студента фия	conform
брать справка студента фия	conform
справка обучающегося как мне заказать	conform
петь справка студента фф	conform
справка студента ммф получаться	conform
получить справка об обучении	conform
получать справка об обучении	conform
справка студента ггф заказать	conform
взять справка студента ггф	conform
получить справка студента	conform
справка студента эф получить	conform
справка студента фия брать	conform
получаться справка о обучении	conform
справка студента фф заказать	conform
петь справка студента	conform
взять справка студента	conform
справка студента получить	conform
взять справка студента эф	conform
оформлять справка студента фф	conform
справка обучающегося получить	conform
оформить справка студента фф	conform
заказать справка студента фф	conform
петь справка студента фит	conform
петь справка о обучении	conform
справка обучающегося взять	conform
получать справка студента ммф	conform
получаться справка студента	conform
справка об обучении брать	conform
справка студента фит получаться	conform
получать справка студента ггф	conform
получаться справка об обучении	conform
оформлять справка студента ггф	conform
справка студента взять	conform
как мне заказать справка студента ммф	conform
оформлять справка обучающегося	conform
взять справка студента ммф	conform
справка студента оформлять	conform
получить справка студента эф	conform
брать справка обучающегося	conform
как мне заказать справка студента фит	conform
справка обучающегося получаться	conform
взять справка обучающегося	conform
справка студента ммф петь	conform
получаться справка студента эф	conform
получить справка обучающегося	conform
справка студента фия заказать	conform
заказать справка студента	conform
справка студента ггф петь	conform
получать справка студента эф	conform
оформлять справка студента эф	conform
брать справка студента фит	conform
справка студента фит получить	conform
справка студента фия взять	conform
петь справка обучающегося	conform
справка студента фф взять	conform
получить справка студента ггф	conform
справка о обучении брать	conform
справка студента фия получить	conform
справка студента ммф брать	conform
как мне заказать справка студента фф	conform
справка студента ммф оформить	conform
петь справка студента эф	conform
получить справка студента фия	conform
оформить справка о обучении	conform
справка студента фия получаться	conform
как мне заказать справка студента ггф	conform
получать справка студента	conform
брать справка студента ггф	conform
справка о обучении оформить	conform
получить справка студента фф	conform
брать справка об обучении	conform
петь справка студента фия	conform
получаться справка студента ммф	conform
справка студента фия как мне заказать	conform
справка студента ммф как мне заказать	conform
справка о обучении получать	conform
справка студента фф как мне заказать	conform
взять справка студента фит	conform
петь справка студента ггф	conform
справка студента фит оформлять	conform
справка студента эф оформить	conform
заказать справка обучающегося	conform
получать справка студента фия	conform
справка студента ггф брать	conform
оформить справка студента ггф	conform
оформлять справка студента фит	conform
петь справка об обучении	conform
справка студента ггф получаться	conform
брать справка о обучении	conform
оформить справка студента ммф	conform
справка студента получать	conform
справка студента фит заказать	conform
брать справка студента эф	conform
справка студента заказать	conform
справка об обучении взять	conform
оформлять справка студента ммф	conform
заказать справка об обучении	conform
справка об обучении получаться	conform
справка студента фит получать	conform
справка обучающегося получать	conform
справка о обучении заказать	conform
справка студента ммф заказать	conform
справка об обучении как мне заказать	conform
справка студента получаться	conform
получать справка студента фф	conform
справка студента ггф взять	conform
получить справка студента фит	conform
справка студента брать	conform
заказать справка студента фит	conform
справка студента ммф получать	conform
справка студента фит взять	conform
оформить справка об обучении	conform
справка студента ггф как мне заказать	conform
справка студента ммф получить	conform
получаться справка студента фф	conform
получаться справка обучающегося	conform
заказать справка студента эф	conform
справка о обучении получаться	conform
оформить справка студента фит	conform
получить справка студента ммф	conform
как мне заказать справка о обучении	conform
справка о обучении оформлять	conform
заказать справка студента ммф	conform
справка студента фит брать	conform
справка студента фия оформить	conform
получить справка о обучении	conform
справка студента ггф получать	conform
справка обучающегося оформлять	conform
справка обучающегося заказать	conform
справка о обучении получить	conform
справка о обучении взять	conform
получать справка обучающегося	conform
справка студента ггф получить	conform
справка студента оформить	conform
справка студента ггф оформить	conform
справка студента фит как мне заказать	conform
справка студента фф оформить	conform
оформлять справка студента	conform
получаться справка студента фия	conform
справка студента эф получаться	conform
справка обучающегося брать	conform
оформлять справка о обучении	conform
справка студента фф получать	conform
как мне заказать справка студента эф	conform
справка об обучении заказать	conform
справка студента ммф взять	conform
справка студента эф как мне заказать	conform
справка студента эф оформлять	conform
взять справка о обучении	conform
справка обучающегося оформить	conform
справка студента эф взять	conform
справка студента ггф оформлять	conform
взять справка об обучении	conform
справка студента фия оформлять	conform
брать справка студента фф	conform
справка об обучении получить	conform
оформить справка студента фия	conform
справка студента фф получаться	conform
получаться справка студента фит	conform
как мне заказать справка обучающегося	conform
справка студента фия получать	conform
брать справка студента	conform
справка студента фф брать	conform
заказать справка о обучении	conform
справка студента эф заказать	conform
получаться справка студента ггф	conform
справка об обучении оформить	conform
справка об обучении оформлять	conform
петь справка студента ммф	conform
разработчик находится	smalltalk_creator
созидатель распологается где	smalltalk_creator
распологается где созидатель	smalltalk_creator
автор где есть	smalltalk_creator
находится создатель	smalltalk_creator
стоять созидатель	smalltalk_creator
находится созидатель	smalltalk_creator
расположен где созидатель	smalltalk_creator
автор распологается где	smalltalk_creator
автор находится	smalltalk_creator
автор находится	smalltalk_creator
создатель распологается где	smalltalk_creator
распологается где разработчик	smalltalk_creator
созидатель находится	smalltalk_creator
созидатель	smalltalk_creator
отец распологается где	smalltalk_creator
находится отец	smalltalk_creator
кто твой автор	smalltalk_creator
создатель стоять	smalltalk_creator
автор расположен где	smalltalk_creator
находится разработчик	smalltalk_creator
находится отец	smalltalk_creator
находится создатель	smalltalk_creator
разработчик стоять	smalltalk_creator
отец где есть	smalltalk_creator
находится разработчик	smalltalk_creator
где расположен где автор	smalltalk_creator
разработчик находится	smalltalk_creator
расположен где разработчик	smalltalk_creator
созидатель где есть	smalltalk_creator
созидатель стоять	smalltalk_creator
расположен где создатель	smalltalk_creator
разработчик расположен где	smalltalk_creator
отец расположен где	smalltalk_creator
создатель где есть	smalltalk_creator
создатель находится	smalltalk_creator
разработчик где есть	smalltalk_creator
созидатель находится	smalltalk_creator
где есть созидатель	smalltalk_creator
отец находится	smalltalk_creator
стоять создатель	smalltalk_creator
расположен где разработчик	smalltalk_creator
созидатель расположен где	smalltalk_creator
создатель расположен где	smalltalk_creator
где созидатель	smalltalk_creator
кто ваш отец	smalltalk_creator
стоять разработчик	smalltalk_creator
находится автор	smalltalk_creator
разработчик расположен где	smalltalk_creator
расположен где автор	smalltalk_creator
создатель	smalltalk_creator
расположен где создатель	smalltalk_creator
стоять отец	smalltalk_creator
отец находится	smalltalk_creator
где есть разработчик	smalltalk_creator
распологается где автор	smalltalk_creator
отец стоять	smalltalk_creator
создатель находится	smalltalk_creator
распологается где отец	smalltalk_creator
разработчик	smalltalk_creator
где есть автор	smalltalk_creator
разработчик распологается где	smalltalk_creator
где есть создатель	smalltalk_creator
отец расположен где	smalltalk_creator
расположен где отец	smalltalk_creator
как найти автора	smalltalk_creator
где есть отец	smalltalk_creator
автор стоять	smalltalk_creator
создатель расположен где	smalltalk_creator
созидатель расположен где	smalltalk_creator
стоять автор	smalltalk_creator
как найти вашего отца	smalltalk_creator
у все, давай прощаться	smalltalk_bye
Спасибо, до свидания!	smalltalk_bye
Спасибо, всего хорошего!	smalltalk_bye
Счастливо	smalltalk_bye
Досвидания	smalltalk_bye
извините за беспокойство всего доброго до свидания	smalltalk_bye
до скорой встречи!	smalltalk_bye
Ладно, до встречи	smalltalk_bye
всего хорошего тебе	smalltalk_bye
Пока, свяжемся позже!	smalltalk_bye
Приятно было пообщаться )))	smalltalk_bye
Ну ладно, приятно было поговорить, пока)	smalltalk_bye
Мне пора) пока)	smalltalk_bye
До скорой встречи	smalltalk_bye
Ладно до завтра	smalltalk_bye
до свидания! Удачи!	smalltalk_bye
Хорошая беседа, пока!!!	smalltalk_bye
Досвиданья	smalltalk_bye
всего доброго)	smalltalk_bye
Ладно, доброй ночи:)	smalltalk_bye
Пока.	smalltalk_bye
Чао-какао!	smalltalk_bye
Рада была поболтать!	smalltalk_bye
Спокойной ночи	smalltalk_bye
Приятно было с вами поговорить	smalltalk_bye
Приятно было поговорить с вами	smalltalk_bye
Приятно было с вами пообщаться	smalltalk_bye
Приятно было пообщаться с вами	smalltalk_bye
Было приятно поговорить с вами	smalltalk_bye
Было приятно пообщаться с вами	smalltalk_bye
Было приятно поболтать с вами	smalltalk_bye
Было приятно с вами поговорить	smalltalk_bye
Было приятно с вами пообщаться	smalltalk_bye
Было приятно с вами поболтать	smalltalk_bye
Рад был с вами пообщаться	smalltalk_bye
Рад был с вами поговорить	smalltalk_bye
Рад был поговорить с вами	smalltalk_bye
Рад был поболтать с вами	smalltalk_bye
Рад был пообщаться с вами	smalltalk_bye
Был рад пообщаться с вами	smalltalk_bye
Был рад поговорить с вами	smalltalk_bye
Был рад поболтать с вами	smalltalk_bye
Мы замечательно поболтали	smalltalk_bye
Мы замечательно пообщались	smalltalk_bye
Мы замещательно поговорили	smalltalk_bye
Мы отлично поболтали	smalltalk_bye
Мы отлично пообщались	smalltalk_bye
Мы отлично поговорили	smalltalk_bye
До свидания	smalltalk_bye
Всего хорошего	smalltalk_bye
До встречи	smalltalk_bye
Спасибо за замечательное общение, до свидания	smalltalk_bye
А пока позвольте с вами попрощаться.	smalltalk_bye
Пока-пока	smalltalk_bye
Всего доброго, до свидания!	smalltalk_bye
До свидания	smalltalk_bye
А теперь прощайте, мистер Саммонд.	smalltalk_bye
покеда	smalltalk_bye
прощаюсь	smalltalk_bye
всего наилучшего	smalltalk_bye
пока спасибо что помог 	smalltalk_bye
я ухожу от тебя 	smalltalk_bye
ладно пока 	smalltalk_bye
пока тебе	smalltalk_bye
до встречи	smalltalk_bye
удачи тебе	smalltalk_bye
всего тебе хорошего бот 	smalltalk_bye
расти большой бот 	smalltalk_bye
всего хорошего бот 	smalltalk_bye
я покидаю тебя	smalltalk_bye
до свидания	smalltalk_bye
ну я пошел	smalltalk_bye
до скорого	smalltalk_bye
прощай	smalltalk_bye
покеда	smalltalk_bye
мне пора	smalltalk_bye
досвидания	smalltalk_bye
всего хорошего	smalltalk_bye
пока	smalltalk_bye
находится стоимость общежития	dorm_price
находится стоимость общежития	dorm_price
расположен где стоимость общежития	dorm_price
распологается где цена общежития	dorm_price
расположен где плата за общежитие	dorm_price
цена общежития находится	dorm_price
цена общежития расположен где	dorm_price
плата за общежитие где есть	dorm_price
плата за общежитие стоять	dorm_price
стоимость общежития стоять	dorm_price
расположен где плата за общежитие	dorm_price
где есть цена общежития	dorm_price
распологается где стоимость общежития	dorm_price
плата за общежитие расположен где	dorm_price
стоимость общежития находится	dorm_price
стоимость общежития где есть	dorm_price
расположен где стоимость общежития	dorm_price
находится цена общежития	dorm_price
цена общежития расположен где	dorm_price
находится плата за общежитие	dorm_price
плата за общежитие	dorm_price
распологается где плата за общежитие	dorm_price
плата за общежитие находится	dorm_price
стоять цена общежития	dorm_price
расположен где цена общежития	dorm_price
стоять плата за общежитие	dorm_price
плата за общежитие находится	dorm_price
плата за общежитие расположен где	dorm_price
стоимость общежития распологается где	dorm_price
находится цена общежития	dorm_price
стоимость общежития находится	dorm_price
стоимость общежития расположен где	dorm_price
цена общежития где есть	dorm_price
стоять стоимость общежития	dorm_price
где есть стоимость общежития	dorm_price
цена общежития распологается где	dorm_price
цена общежития стоять	dorm_price
находится плата за общежитие	dorm_price
стоимость общежития	dorm_price
цена общежития находится	dorm_price
расположен где цена общежития	dorm_price
где есть плата за общежитие	dorm_price
утерял пропускной в семерку что мне делать спасибо	dormcard_lost
забыл где то свой пропуск в общагу хелп подскажи	dormcard_lost
где то оставил пропускной в семерку к кому обращаться плиз	dormcard_lost
где то оставил свой пропускной в общежитие номер шесть хелп плиз	dormcard_lost
забыл где то пропуск в шестерку к кому обращаться плиз	dormcard_lost
посеял блин пропускной в свою общагу хелп спасибо	dormcard_lost
